La durée moyenne de sommeil d'un chat domestique est :;20 heures;10 heures;15 heures;10 heures
Le nombre de pattes d'une abeille est :;8;6;4;6
La principale source d'alimentation des koalas est :;Fruits;Herbe;Feuilles d'eucalyptus;Feuilles d'eucalyptus
La vitesse maximale d'un guépard est :;90 km/h;110 km/h;70 km/h;110 km/h
La longueur moyenne du cou d'une girafe adulte est :;3 mètres;1 mètre;2 mètres;2 mètres
La durée de vie moyenne d'un éléphant en captivité est :;70 ans;30 ans;50 ans;30 ans
Dans quel continent se trouve la France ?;Amérique du Nord;Afrique;Europe;Europe
Quel est le nom du fleuve qui traverse Paris ?;La Seine;La Loire;Le Rhône;La Seine
Quelle est la capitale de la France ?;Nantes;Paris;Marseille;Paris
Quelle est la langue officielle de la France ?;Espagnol;Français;Anglais;Français
Quelle est la plus longue rivière de France ?;Le Rhône;Le Rhin;La Loire;Le Rhin
Quelle est la montagne la plus haute de France ?;Mont Aigoual;Mont Ventoux;Mont Blanc;Mont Blanc
Quelle est la superficie de la France ?;643 801 km²;551 500 km²;543 940 km²;643 801 km²
Quelle est la population de la France ?;70,0 millions d'habitants;68,0 millions d'habitants;67,75 millions d'habitants;67,75 millions d'habitants
Quel groupe d'animaux a vécu il y a très longtemps et inclut des créatures comme le Tyrannosaure Rex ?;Lions;Dauphins;Dinosaures;Dinosaures
Qui étaient les premiers humains connus, souvent appelés les ancêtres des gens d'aujourd'hui ?;Néandertaliens;Australopithèques;Homo sapiens;Homo sapiens
Qu'est-ce qui a été inventé par les anciens Égyptiens pour enregistrer des informations et des histoires ?;Téléphone;Hiéroglyphes;Ordinateur;Hiéroglyphes
Quel événement a marqué le début de l'histoire enregistrée ?;Invention de l'écriture;Découverte du feu;L'an 0;Invention de l'écriture
Quelle planète est souvent appelée la "planète rouge" ?;Jupiter;Mars;Vénus;Mars
Quel est le plus grand satellite naturel de la Terre ?;Lune;Titan;Mars;Lune
Quel est le muscle principal du corps humain ?;Biceps;Cœur;Quadriceps;Cœur
Combien de vertèbres la colonne vertébrale humaine a-t-elle ?;33;42;26;26
Quel est l'air que nous respirons principalement ?;Azote;Oxygène;Hydrogène;Oxygène
Qu'est-ce que les plantes utilisent du soleil pour produire de la nourriture ?;Oxygène;Dioxyde de carbone;Azote;Dioxyde de carbone